;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
70;Sudeste;Urbana;Pública;98,7;94,0;0,5;3,4;0,8;2,6
71;Sudeste;Rural;Pública;98,7;94,1;0,4;4,4;0,9;1,5
72;Sul;Total;Total;98,2;91,0;1,4;4,8;0,4;4,2
73;Sul;Urbana;Total;98,2;90,9;1,4;4,8;0,4;4,3
74;Sul;Rural;Total;98,7;92,9;0,9;3,8;0,4;3,3
75;Sul;Total;Federal;98,1;88,0;1,8;10,8;0,1;1,2
76;Sul;Urbana;Federal;98,1;88,5;1,8;10,2;0,1;1,3
77;Sul;Rural;Federal;;85,7;;13,5;;0,8
78;Sul;Total;Estadual;96,9;89,8;2,4;5,2;0,7;5,0
79;Sul;Urbana;Estadual;96,8;89,7;2,5;5,3;0,7;5,0
80;Sul;Rural;Estadual;98,2;93,7;1,2;2,7;0,6;3,6
81;Sul;Total;Municipal;98,9;96,5;0,9;0,6;0,2;2,9
82;Sul;Urbana;Municipal;98,9;97,4;0,9;0,2;0,2;2,4
83;Sul;Rural;Municipal;98,9;90,8;0,8;3,3;0,3;5,9
84;Sul;Total;Privada;99,3;99,1;0,6;0,7;0,1;0,2
85;Sul;Urbana;Privada;99,3;99,1;0,6;0,7;0,1;0,2
86;Sul;Rural;Privada;98,8;95,6;0,9;1,9;0,3;2,5
87;Sul;Total;Pública;98,1;89,8;1,5;5,3;0,4;4,9
88;Sul;Urbana;Pública;98,0;89,7;1,6;5,4;0,4;4,9
89;Sul;Rural;Pública;98,7;92,8;0,9;3,9;0,4;3,3
90;Centro-Oeste;Total;Total;97,8;93,4;1,8;5,5;0,4;1,1
91;Centro-Oeste;Urbana;Total;97,9;93,4;1,8;5,5;0,3;1,1
92;Centro-Oeste;Rural;Total;97,7;92,2;1,8;6,0;0,5;1,8
93;Centro-Oeste;Total;Federal;99,5;87,5;0,5;10,3;0,0;2,2
94;Centro-Oeste;Urbana;Federal;99,5;90,1;0,5;8,5;0,0;1,4
95;Centro-Oeste;Rural;Federal;;77,4;;17,5;;5,1
96;Centro-Oeste;Total;Estadual;97,3;92,8;2,4;6,0;0,3;1,2
97;Centro-Oeste;Urbana;Estadual;97,3;92,7;2,4;6,1;0,3;1,2
98;Centro-Oeste;Rural;Estadual;97,6;94,7;2,2;4,1;0,2;1,2
99;Centro-Oeste;Total;Municipal;98,0;90,9;1,6;6,7;0,4;2,4
100;Centro-Oeste;Urbana;Municipal;98,1;88,3;1,6;8,9;0,3;2,8
101;Centro-Oeste;Rural;Municipal;97,7;98,9;1,6;0,0;0,7;1,1
102;Centro-Oeste;Total;Privada;98,7;98,9;0,6;0,8;0,7;0,3
103;Centro-Oeste;Urbana;Privada;98,7;99,0;0,6;0,7;0,7;0,3
104;Centro-Oeste;Rural;Privada;99,3;94,6;0,6;3,2;0,1;2,2
