;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
355;Alagoas;Rural;Pública;99,3;99,9;0,2;0,0;0,5;0,1
356;Sergipe;Total;Total;98,5;97,6;0,4;0,4;1,1;2,0
357;Sergipe;Urbana;Total;98,3;97,7;0,5;0,3;1,2;2,0
358;Sergipe;Rural;Total;99,1;95,4;0,2;2,7;0,7;1,9
359;Sergipe;Total;Federal;100,0;86,4;0,0;12,7;0,0;0,9
360;Sergipe;Urbana;Federal;100,0;88,4;0,0;11,3;0,0;0,3
361;Sergipe;Rural;Federal;;83,3;;14,7;;2,0
362;Sergipe;Total;Estadual;100,0;97,6;0,0;0,0;0,0;2,4
363;Sergipe;Urbana;Estadual;100,0;97,6;0,0;0,0;0,0;2,4
364;Sergipe;Rural;Estadual;100,0;98,1;0,0;0,0;0,0;1,9
365;Sergipe;Total;Municipal;98,7;;0,5;;0,8;
366;Sergipe;Urbana;Municipal;98,4;;0,7;;0,9;
367;Sergipe;Rural;Municipal;99,1;;0,2;;0,7;
368;Sergipe;Total;Privada;96,5;99,0;0,6;0,6;2,9;0,4
369;Sergipe;Urbana;Privada;96,5;99,0;0,5;0,6;3,0;0,4
370;Sergipe;Rural;Privada;97,3;;1,2;;1,5;
371;Sergipe;Total;Pública;99,1;97,3;0,4;0,4;0,5;2,3
372;Sergipe;Urbana;Pública;99,0;97,4;0,4;0,2;0,6;2,4
373;Sergipe;Rural;Pública;99,2;95,4;0,2;2,7;0,6;1,9
374;Bahia;Total;Total;97,2;98,7;0,7;0,3;2,1;1,0
375;Bahia;Urbana;Total;96,9;98,8;0,7;0,3;2,4;0,9
376;Bahia;Rural;Total;97,9;98,3;0,7;0,6;1,4;1,1
377;Bahia;Total;Federal;98,7;81,6;1,3;11,3;0,0;7,1
378;Bahia;Urbana;Federal;98,7;81,5;1,3;11,4;0,0;7,1
379;Bahia;Rural;Federal;;92,9;;0,0;;7,1
380;Bahia;Total;Estadual;98,7;99,2;0,0;0,1;1,3;0,7
381;Bahia;Urbana;Estadual;98,7;99,2;0,0;0,1;1,3;0,7
382;Bahia;Rural;Estadual;98,7;99,3;0,0;0,0;1,3;0,7
383;Bahia;Total;Municipal;97,9;94,5;0,8;1,5;1,3;4,0
384;Bahia;Urbana;Municipal;98,0;88,4;0,8;1,8;1,2;9,8
385;Bahia;Rural;Municipal;97,9;97,8;0,7;1,3;1,4;0,9
386;Bahia;Total;Privada;93,0;97,9;0,9;0,8;6,1;1,3
387;Bahia;Urbana;Privada;93,0;98,4;0,8;0,5;6,2;1,1
388;Bahia;Rural;Privada;93,3;90,7;2,4;4,7;4,3;4,6
389;Bahia;Total;Pública;98,0;98,9;0,7;0,3;1,3;0,8
390;Bahia;Urbana;Pública;98,0;98,8;0,7;0,3;1,3;0,9
391;Bahia;Rural;Pública;97,9;99,2;0,7;0,1;1,4;0,7
392;Minas Gerais;Total;Total;97,7;90,7;0,4;2,0;1,9;7,3
393;Minas Gerais;Urbana;Total;97,6;90,6;0,4;2,0;2,0;7,4
394;Minas Gerais;Rural;Total;98,4;93,1;0,4;3,0;1,2;3,9
395;Minas Gerais;Total;Federal;98,9;91,8;1,1;7,4;0,0;0,8
396;Minas Gerais;Urbana;Federal;98,9;92,7;1,1;6,4;0,0;0,9
397;Minas Gerais;Rural;Federal;;87,7;;11,8;;0,5
398;Minas Gerais;Total;Estadual;96,4;89,7;0,1;2,0;3,5;8,3
399;Minas Gerais;Urbana;Estadual;96,3;89,5;0,1;2,0;3,6;8,5
400;Minas Gerais;Rural;Estadual;98,3;94,7;0,1;0,7;1,6;4,6
401;Minas Gerais;Total;Municipal;98,5;96,7;0,6;1,6;0,9;1,7
402;Minas Gerais;Urbana;Municipal;98,5;96,7;0,6;1,7;0,9;1,6
403;Minas Gerais;Rural;Municipal;98,5;96,4;0,5;0,6;1,0;3,0
404;Minas Gerais;Total;Privada;99,1;98,9;0,5;0,7;0,4;0,4
405;Minas Gerais;Urbana;Privada;99,1;99,1;0,5;0,7;0,4;0,2
406;Minas Gerais;Rural;Privada;97,9;91,6;1,0;0,9;1,1;7,5
407;Minas Gerais;Total;Pública;97,5;89,8;0,4;2,2;2,1;8,0
408;Minas Gerais;Urbana;Pública;97,4;89,7;0,4;2,1;2,2;8,2
409;Minas Gerais;Rural;Pública;98,4;93,2;0,4;3,2;1,2;3,6
410;Espírito Santo;Total;Total;99,3;97,1;0,2;0,7;0,5;2,2
411;Espírito Santo;Urbana;Total;99,4;97,2;0,2;0,6;0,4;2,2
412;Espírito Santo;Rural;Total;99,1;95,2;0,3;2,5;0,6;2,3
413;Espírito Santo;Total;Federal;;87,0;;11,0;;2,0
414;Espírito Santo;Urbana;Federal;;86,8;;11,4;;1,8
415;Espírito Santo;Rural;Federal;;87,7;;9,4;;2,9
416;Espírito Santo;Total;Estadual;99,0;97,5;0,0;0,0;1,0;2,5
417;Espírito Santo;Urbana;Estadual;98,9;97,5;0,0;0,0;1,1;2,5
418;Espírito Santo;Rural;Estadual;99,4;98,7;0,0;0,0;0,6;1,3
419;Espírito Santo;Total;Municipal;99,4;100,0;0,2;0,0;0,4;0,0
420;Espírito Santo;Urbana;Municipal;99,5;;0,2;;0,3;
421;Espírito Santo;Rural;Municipal;99,1;100,0;0,4;0,0;0,5;0,0
422;Espírito Santo;Total;Privada;99,4;99,2;0,3;0,4;0,3;0,4
423;Espírito Santo;Urbana;Privada;99,4;99,6;0,3;0,4;0,3;0,0
424;Espírito Santo;Rural;Privada;98,0;95,7;0,3;0,7;1,7;3,6
425;Espírito Santo;Total;Pública;99,3;96,8;0,2;0,7;0,5;2,5
426;Espírito Santo;Urbana;Pública;99,3;96,9;0,1;0,6;0,6;2,5
427;Espírito Santo;Rural;Pública;99,1;95,1;0,3;3,1;0,6;1,8
428;Rio de Janeiro;Total;Total;97,8;91,7;1,0;7,8;1,2;0,5
429;Rio de Janeiro;Urbana;Total;97,7;91,6;1,0;7,9;1,3;0,5
430;Rio de Janeiro;Rural;Total;98,2;93,0;0,7;6,4;1,1;0,6
431;Rio de Janeiro;Total;Federal;99,4;92,6;0,5;6,3;0,1;1,1
432;Rio de Janeiro;Urbana;Federal;99,4;93,4;0,5;5,6;0,1;1,0
433;Rio de Janeiro;Rural;Federal;;78,3;;20,0;;1,7
434;Rio de Janeiro;Total;Estadual;93,8;90,1;6,0;9,5;0,2;0,4
435;Rio de Janeiro;Urbana;Estadual;93,7;89,9;6,1;9,6;0,2;0,5
436;Rio de Janeiro;Rural;Estadual;95,1;93,3;4,7;6,2;0,2;0,5
437;Rio de Janeiro;Total;Municipal;98,9;94,2;0,2;2,7;0,9;3,1
438;Rio de Janeiro;Urbana;Municipal;98,9;94,2;0,2;2,7;0,9;3,1
439;Rio de Janeiro;Rural;Municipal;98,6;;0,3;;1,1;
440;Rio de Janeiro;Total;Privada;96,4;98,2;1,2;1,1;2,4;0,7
441;Rio de Janeiro;Urbana;Privada;96,4;98,2;1,2;1,1;2,4;0,7
442;Rio de Janeiro;Rural;Privada;97,0;98,1;1,3;1,4;1,7;0,5
443;Rio de Janeiro;Total;Pública;98,3;90,1;0,9;9,4;0,8;0,5
444;Rio de Janeiro;Urbana;Pública;98,3;90,1;0,9;9,5;0,8;0,4
445;Rio de Janeiro;Rural;Pública;98,3;92,7;0,7;6,7;1,0;0,6
446;São Paulo;Total;Total;99,3;97,8;0,5;1,8;0,2;0,4
447;São Paulo;Urbana;Total;99,3;97,8;0,5;1,7;0,2;0,5
448;São Paulo;Rural;Total;99,5;96,0;0,4;3,8;0,1;0,2
449;São Paulo;Total;Federal;;95,2;;4,7;;0,1
450;São Paulo;Urbana;Federal;;95,2;;4,7;;0,1
451;São Paulo;Total;Estadual;98,9;97,5;0,8;2,0;0,3;0,5
452;São Paulo;Urbana;Estadual;98,9;97,5;0,8;2,0;0,3;0,5
453;São Paulo;Rural;Estadual;99,5;95,7;0,4;4,1;0,1;0,2
454;São Paulo;Total;Municipal;99,6;99,0;0,3;0,8;0,1;0,2
455;São Paulo;Urbana;Municipal;99,6;99,0;0,3;0,8;0,1;0,2
456;São Paulo;Rural;Municipal;99,6;99,5;0,4;0,5;0,0;0,0
457;São Paulo;Total;Privada;99,5;99,6;0,5;0,4;0,0;0,0
458;São Paulo;Urbana;Privada;99,5;99,6;0,5;0,4;0,0;0,0
459;São Paulo;Rural;Privada;99,0;98,7;1,0;1,0;0,0;0,3
460;São Paulo;Total;Pública;99,3;97,5;0,5;2,0;0,2;0,5
461;São Paulo;Urbana;Pública;99,3;97,5;0,5;2,0;0,2;0,5
462;São Paulo;Rural;Pública;99,6;95,8;0,4;4,0;0,0;0,2
463;Paraná;Total;Total;97,9;92,4;1,6;4,5;0,5;3,1
464;Paraná;Urbana;Total;97,8;92,3;1,6;4,5;0,6;3,2
465;Paraná;Rural;Total;98,7;96,0;0,9;2,4;0,4;1,6
466;Paraná;Total;Federal;98,6;90,6;1,4;8,7;0,0;0,7
467;Paraná;Urbana;Federal;98,6;90,5;1,4;8,8;0,0;0,7
468;Paraná;Rural;Federal;;91,7;;8,3;;0,0
469;Paraná;Total;Estadual;96,3;91,3;2,5;5,0;1,2;3,7
470;Paraná;Urbana;Estadual;96,1;91,1;2,6;5,2;1,3;3,7
471;Paraná;Rural;Estadual;98,4;96,0;0,9;2,4;0,7;1,6
472;Paraná;Total;Municipal;98,8;100,0;1,0;0,0;0,2;0,0
473;Paraná;Urbana;Municipal;98,8;;1,0;;0,2;
474;Paraná;Rural;Municipal;98,9;100,0;1,0;0,0;0,1;0,0
475;Paraná;Total;Privada;99,2;99,4;0,7;0,6;0,1;0,0
476;Paraná;Urbana;Privada;99,2;99,4;0,7;0,6;0,1;0,0
477;Paraná;Rural;Privada;99,4;98,2;0,1;1,1;0,5;0,7
478;Paraná;Total;Pública;97,7;91,3;1,7;5,1;0,6;3,6
479;Paraná;Urbana;Pública;97,6;91,1;1,7;5,2;0,7;3,7
480;Paraná;Rural;Pública;98,7;96,0;0,9;2,5;0,4;1,5
481;Santa Catarina;Total;Total;97,4;86,4;2,4;10,0;0,2;3,6
482;Santa Catarina;Urbana;Total;97,3;86,3;2,4;10,1;0,3;3,6
483;Santa Catarina;Rural;Total;98,3;89,9;1,5;6,7;0,2;3,4
484;Santa Catarina;Total;Federal;96,5;86,4;3,1;12,4;0,4;1,2
485;Santa Catarina;Urbana;Federal;96,5;86,8;3,1;11,9;0,4;1,3
486;Santa Catarina;Rural;Federal;;81,8;;18,1;;0,1
487;Santa Catarina;Total;Estadual;94,0;84,5;5,7;11,3;0,3;4,2
488;Santa Catarina;Urbana;Estadual;93,9;84,3;5,9;11,4;0,2;4,3
489;Santa Catarina;Rural;Estadual;95,5;90,7;3,9;5,3;0,6;4,0
490;Santa Catarina;Total;Municipal;99,1;96,1;0,7;0,5;0,2;3,4
491;Santa Catarina;Urbana;Municipal;99,0;99,3;0,8;0,7;0,2;0,0
492;Santa Catarina;Rural;Municipal;99,4;88,4;0,5;0,0;0,1;11,6
493;Santa Catarina;Total;Privada;99,3;99,2;0,5;0,6;0,2;0,2
494;Santa Catarina;Urbana;Privada;99,3;99,2;0,5;0,6;0,2;0,2
495;Santa Catarina;Rural;Privada;99,7;100,0;0,3;0,0;0,0;0,0
496;Santa Catarina;Total;Pública;97,1;84,6;2,6;11,3;0,3;4,1
497;Santa Catarina;Urbana;Pública;97,0;84,5;2,8;11,5;0,2;4,0
498;Santa Catarina;Rural;Pública;98,3;89,4;1,5;7,0;0,2;3,6
499;Rio Grande do Sul;Total;Total;99,2;92,7;0,5;1,1;0,3;6,2
500;Rio Grande do Sul;Urbana;Total;99,2;92,8;0,5;1,0;0,3;6,2
501;Rio Grande do Sul;Rural;Total;98,9;90,4;0,7;4,1;0,4;5,5
502;Rio Grande do Sul;Total;Federal;98,8;89,5;1,2;9,0;0,0;1,5
503;Rio Grande do Sul;Urbana;Federal;98,8;91,6;1,2;6,6;0,0;1,8
504;Rio Grande do Sul;Rural;Federal;;86,5;;12,2;;1,3
505;Rio Grande do Sul;Total;Estadual;99,5;91,9;0,1;1,0;0,4;7,1
506;Rio Grande do Sul;Urbana;Estadual;99,5;91,9;0,1;0,9;0,4;7,2
507;Rio Grande do Sul;Rural;Estadual;99,4;91,4;0,0;1,8;0,6;6,8
508;Rio Grande do Sul;Total;Municipal;98,9;96,6;0,8;0,6;0,3;2,8
509;Rio Grande do Sul;Urbana;Municipal;98,9;97,2;0,8;0,2;0,3;2,6
510;Rio Grande do Sul;Rural;Municipal;98,7;91,6;0,9;4,3;0,4;4,1
511;Rio Grande do Sul;Total;Privada;99,4;98,6;0,5;1,1;0,1;0,3
512;Rio Grande do Sul;Urbana;Privada;99,4;98,7;0,5;1,1;0,1;0,2
513;Rio Grande do Sul;Rural;Privada;96,5;89,2;3,2;4,4;0,3;6,4
514;Rio Grande do Sul;Total;Pública;99,1;91,9;0,5;1,1;0,4;7,0
515;Rio Grande do Sul;Urbana;Pública;99,2;92,0;0,5;1,0;0,3;7,0
516;Rio Grande do Sul;Rural;Pública;98,9;90,4;0,7;4,1;0,4;5,5
517;Mato Grosso do Sul;Total;Total;95,7;87,2;4,0;12,1;0,3;0,7
518;Mato Grosso do Sul;Urbana;Total;95,7;87,1;4,1;12,2;0,2;0,7
519;Mato Grosso do Sul;Rural;Total;95,7;87,5;3,5;11,0;0,8;1,5
520;Mato Grosso do Sul;Total;Federal;99,8;92,8;0,2;5,4;0,0;1,8
521;Mato Grosso do Sul;Urbana;Federal;99,8;95,0;0,2;3,7;0,0;1,3
522;Mato Grosso do Sul;Rural;Federal;;82,7;;13,5;;3,8
523;Mato Grosso do Sul;Total;Estadual;92,8;85,6;7,0;13,7;0,2;0,7
524;Mato Grosso do Sul;Urbana;Estadual;92,6;85,4;7,2;13,9;0,2;0,7
525;Mato Grosso do Sul;Rural;Estadual;95,1;88,0;4,7;11,1;0,2;0,9
526;Mato Grosso do Sul;Total;Municipal;96,5;100,0;3,3;0,0;0,2;0,0
527;Mato Grosso do Sul;Urbana;Municipal;96,6;;3,3;;0,1;
528;Mato Grosso do Sul;Rural;Municipal;95,8;100,0;3,3;0,0;0,9;0,0
529;Mato Grosso do Sul;Total;Privada;99,2;98,8;0,7;0,8;0,1;0,4
530;Mato Grosso do Sul;Urbana;Privada;99,2;99,3;0,7;0,5;0,1;0,2
531;Mato Grosso do Sul;Rural;Privada;100,0;88,4;0,0;7,1;0,0;4,5
532;Mato Grosso do Sul;Total;Pública;95,3;86,0;4,5;13,2;0,2;0,8
533;Mato Grosso do Sul;Urbana;Pública;95,2;85,9;4,6;13,4;0,2;0,7
534;Mato Grosso do Sul;Rural;Pública;95,7;87,5;3,6;11,3;0,7;1,2
535;Mato Grosso;Total;Total;99,6;98,0;0,2;1,3;0,2;0,7
536;Mato Grosso;Urbana;Total;99,6;98,3;0,2;1,1;0,2;0,6
537;Mato Grosso;Rural;Total;99,6;96,1;0,1;2,6;0,3;1,3
538;Mato Grosso;Total;Federal;;87,2;;12,3;;0,5
539;Mato Grosso;Urbana;Federal;;89,1;;10,3;;0,6
540;Mato Grosso;Rural;Federal;;81,0;;18,7;;0,3
541;Mato Grosso;Total;Estadual;99,9;98,7;0,0;0,6;0,1;0,7
542;Mato Grosso;Urbana;Estadual;100,0;98,8;0,0;0,6;0,0;0,6
543;Mato Grosso;Rural;Estadual;99,7;98,0;0,0;0,6;0,3;1,4
544;Mato Grosso;Total;Municipal;99,7;;0,2;;0,1;
545;Mato Grosso;Urbana;Municipal;99,7;;0,2;;0,1;
546;Mato Grosso;Rural;Municipal;99,5;;0,1;;0,4;
547;Mato Grosso;Total;Privada;98,4;99,0;0,6;0,6;1,0;0,4
548;Mato Grosso;Urbana;Privada;98,4;99,0;0,6;0,7;1,0;0,3
549;Mato Grosso;Rural;Privada;100,0;100,0;0,0;0,0;0,0;0,0
550;Mato Grosso;Total;Pública;99,8;97,9;0,1;1,3;0,1;0,8
551;Mato Grosso;Urbana;Pública;99,8;98,2;0,1;1,1;0,1;0,7
552;Mato Grosso;Rural;Pública;99,6;96,0;0,1;2,6;0,3;1,4
553;Goiás;Total;Total;98,1;96,1;1,2;2,2;0,7;1,7
554;Goiás;Urbana;Total;98,1;96,2;1,2;2,1;0,7;1,7
555;Goiás;Rural;Total;97,6;89,5;1,5;5,4;0,9;5,1
556;Goiás;Total;Federal;;83,5;;11,7;;4,8
557;Goiás;Urbana;Federal;;87,3;;10,6;;2,1
558;Goiás;Rural;Federal;;68,7;;16,1;;15,2
559;Goiás;Total;Estadual;98,2;96,2;1,2;2,0;0,6;1,8
560;Goiás;Urbana;Estadual;98,2;96,2;1,2;2,0;0,6;1,8
561;Goiás;Rural;Estadual;97,7;96,6;1,4;1,7;0,9;1,7
562;Goiás;Total;Municipal;98,0;89,3;1,4;7,9;0,6;2,8
563;Goiás;Urbana;Municipal;98,1;88,3;1,4;8,9;0,5;2,8
564;Goiás;Rural;Municipal;97,6;97,4;1,5;0,0;0,9;2,6
565;Goiás;Total;Privada;98,2;98,4;0,7;1,1;1,1;0,5
566;Goiás;Urbana;Privada;98,2;98,5;0,6;1,1;1,2;0,4
567;Goiás;Rural;Privada;98,3;95,9;1,5;2,4;0,2;1,7
568;Goiás;Total;Pública;98,1;95,8;1,3;2,3;0,6;1,9
569;Goiás;Urbana;Pública;98,1;95,9;1,3;2,3;0,6;1,8
570;Goiás;Rural;Pública;97,6;88,5;1,5;5,9;0,9;5,6
571;Distrito Federal;Total;Total;97,2;87,4;2,6;12,0;0,2;0,6
572;Distrito Federal;Urbana;Total;97,3;87,5;2,5;11,9;0,2;0,6
573;Distrito Federal;Rural;Total;95,7;85,5;4,2;14,5;0,1;0,0
574;Distrito Federal;Total;Federal;99,4;88,5;0,6;9,9;0,0;1,6
575;Distrito Federal;Urbana;Federal;99,4;90,5;0,6;7,6;0,0;1,9
576;Distrito Federal;Rural;Federal;;78,0;;22,0;;0,0
577;Distrito Federal;Total;Estadual;96,5;83,8;3,4;15,5;0,1;0,7
578;Distrito Federal;Urbana;Estadual;96,5;83,7;3,3;15,6;0,2;0,7
579;Distrito Federal;Rural;Estadual;95,5;85,9;4,4;14,1;0,1;0,0
580;Distrito Federal;Total;Privada;99,4;99,5;0,4;0,5;0,2;0,0
581;Distrito Federal;Urbana;Privada;99,4;99,5;0,4;0,5;0,2;0,0
582;Distrito Federal;Rural;Privada;100,0;100,0;0,0;0,0;0,0;0,0
583;Distrito Federal;Total;Pública;96,5;84,0;3,3;15,3;0,2;0,7
584;Distrito Federal;Urbana;Pública;96,5;84,0;3,3;15,3;0,2;0,7
585;Distrito Federal;Rural;Pública;95,5;84,2;4,4;15,8;0,1;0,0
586;;;;;;;;;
587;;;;;;;;;
